CEP,IPV4,CPF,telefone,data,UUID,"gausianomedia13,desviopadrao11","linear500,123"
36264-174,212.15.229.0,145.568.310-40,"(30)
1857-6815",08/01/1204,0ebB9f0D-2A6d-3F7C-B0AB-5c792Bab6eb9,11.476523577689534,6281.0
31504-367,223.70.249.253,403.451.830-89,(26)28983-9545,31/10/6660,5af7758D-ff8b-4dBA-abd9-AD8cA6dDaCFb,22.624909677919156,6404.0
98117-057,154.253.19.207,947.555.665-41,(49)7614-3387,31/10/4804,12fcEefd-23CD-30a7-aB6c-18e43f8DAfC2,10.256400911453673,6527.0
72407-491,53.242.209.253,727.251.996-96,"(18)94786-5752",10/06/8953,b8BcEA6d-88ed-3Db3-b6A5-84FBC7aDd7ff,-1.8766858389134278,6650.0
71391-124,127.247.200.8,347.190.958-76,(44) 8881-6846,21/09/3559,Bfd1074e-5F50-2C1a-a30b-0bAa2ceC24aE,12.426606852365241,6773.0
23443-701,255.12.252.05,819.947.340-46,"(71)34542-4226",13/07/7199,e1aaE408-33Ef-5a7d-aD1c-bd49c3d854e9,6.395764917482076,6896.0
47028-708,046.252.13.210,532.400.823-04,(57)	41619-4968,31/11/5331,D2070Fe8-1CE9-2b5b-bFaD-fDdcfF75A2D8,2.938429921321559,7019.0
05150-192,251.208.253.240,970.575.515-65,(62)	61962-1083,06/10/2832,1b182c77-bC53-5C8F-B387-afF7b2d52fFc,2.2797856799220924,7142.0
03085-301,08.254.254.104,758.125.498-61,(75)61392-9870,30/06/2157,931aaC46-1e1C-26Ad-bA83-a6db4213e00b,5.72684103290438,7265.0
85762-676,222.254.250.250,493.996.494-37,(45) 5737-6626,30/09/0598,CC4bDFA1-ac9e-15D4-87AB-4E21C1CB753E,-14.649794569648009,7388.0
75976-965,250.142.251.255,499.353.093-05,(38)1865-4414,01/10/5590,00B9aEEC-5B3D-184F-800D-eDC8Df0DA0D5,17.98236560415088,7511.0
22763-505,254.228.255.27,275.148.853-62,"(41)9581-6003",18/07/5950,becaEE21-7fdE-1C62-8B54-547621ce98F7,6.154998997158386,7634.0
28677-967,254.86.207.12,631.963.871-86,(07)	50225-3536,08/05/9409,B9Fcf6E6-1Fd7-2b51-a1eE-08feD84e4dcB,6.781310087511068,7757.0
92906-085,61.251.02.250,507.976.230-09,(67)	4646-4133,28/05/9146,ff8CB62D-BAc3-5F4E-BC4A-eBEe946aEe32,13.219533761008197,7880.0
16713-709,208.251.52.158,712.888.351-47,"(05)6430-3241",16/01/4088,2a1cf7AD-a3a4-181C-b73d-b142a3c1bBd0,1.0739508843168046,8003.0
13776-658,228.251.236.251,079.608.059-59,(64)	9884-4099,01/11/0186,7E9FaF0a-CfaF-5a5d-ABDC-01EBd9efA149,8.876951105708205,8126.0
91376-192,40.219.253.243,797.940.732-13,(66)	2229-2107,30/09/4240,18a2e171-33A6-585F-9FBB-a6DcdCcDbDb8,18.31907677621001,8249.0
32262-181,254.79.209.41,772.567.987-06,(48)	84947-0418,03/06/5996,6F9C0D4D-2fF2-576d-bA6c-11bc6bBd6f0f,13.331517296173638,8372.0
64779-589,234.249.238.224,806.633.497-79,(48)83082-3105,30/11/6942,ED37Cd3D-9A6F-41bE-9eE0-717CAd2a26F3,0.4507933659583241,8495.0
19196-694,6.92.07.232,071.427.693-30,"(27)3795-1138",31/12/9744,6D6FaEf6-f7Cc-55BC-85cA-8FBBFDE294d0,11.663643908464506,8618.0
69013-310,28.254.209.033,204.805.540-52,(95) 15149-2988,30/03/7202,74BFFdBC-Db65-385A-af8e-CCD2c1fBB96F,16.98413550223303,8741.0
87974-252,200.6.234.28,511.875.572-98,(85) 80996-7300,05/12/2174,Be14F606-073f-5EB9-B3f8-7DAc88c4B4B5,27.034357256521922,8864.0
93089-690,235.255.9.255,563.389.766-63,"(19)4831-9527",02/06/2090,529AEBac-88c9-57A9-A80C-d348DD0cCF2E,3.93429348239742,8987.0
16011-177,254.254.05.06,183.109.099-65,(57)	31588-2428,10/03/8489,FD9a7eEF-eDCa-4F7C-8aA7-BD9fAA5d7C39,15.054559801868992,9110.0
22442-796,229.16.11.251,183.925.840-89,(31)5498-4842,09/05/4902,fBC50F69-572C-50D1-810f-4afCcaF4Ec5b,19.610247993389898,9233.0
17299-904,252.080.253.254,574.134.144-13,(90)41750-5436,06/10/8094,441711d9-213F-2F8D-98c9-7F3b3eED1F3B,3.1659935115387885,9356.0
80523-324,254.252.35.249,814.942.318-86,(68)5013-5952,13/02/3796,fDbDD709-5BEc-1cA7-9913-6fBD3E2b0844,5.226066523049361,9479.0
06050-342,10.253.243.251,338.492.639-50,(95)4438-3764,22/03/8817,9A4bc7Aa-CeCD-1fE0-9EF0-C3BDD0E7Bc3C,7.7731775921988335,9602.0
18883-536,237.251.99.251,985.923.605-90,(49)1464-2326,30/07/4715,5BaEC7b1-Cacd-34eF-8Ea9-f35f8F0Ed698,12.962181751658163,9725.0
38273-053,255.197.224.14,012.831.735-21,(23)2469-3766,31/12/1231,98eD75bd-ebd7-1ac1-901F-f8FDA117d112,11.703596055127363,9848.0
22737-447,190.9.251.222,784.736.473-47,(74)68611-0434,02/04/8015,9e1AC435-d554-16E8-bb0b-4Fc79FE174ED,21.92541811503942,9971.0
19195-657,209.200.146.27,829.110.990-78,(97) 4500-7091,12/11/3991,33dbF6D7-92Dc-356B-a916-19CE0e4f0bCa,12.281602328008333,10094.0
40165-679,253.207.160.255,145.654.140-79,(38)5695-4511,18/03/8545,cdAAC6cA-FAC5-42cE-a219-fC78CE053373,19.08940664214671,10217.0
15137-541,84.251.246.253,045.078.258-25,(69) 9023-0035,01/02/3923,6C80FC4C-A4d7-28Dc-bfCa-DB2CA94D4C80,17.37846576976949,10340.0
54144-508,223.222.043.225,654.452.831-17,(51)64458-6139,06/12/4555,45b1cE3A-43a1-2B0F-aBC9-B08D33Ce6b88,5.431150120121201,10463.0
02419-147,14.226.252.250,514.285.081-21,(24)9425-1204,06/02/3977,D09cCfD4-7A2a-25a1-A9EB-AbD6Ab0aF35e,3.477016819556141,10586.0
52430-945,97.247.246.84,669.334.279-79,(00)52253-1077,31/11/2257,A0d89C20-fa1E-5cbd-AAda-84A8fea08E2D,2.9596957117259795,10709.0
29313-144,102.86.255.251,979.967.799-88,(40)42886-1684,21/12/2749,EA8cFC4F-1fDd-188A-b7Da-A202b4dAEEeF,14.536257563109217,10832.0
06508-463,252.254.250.253,587.819.668-20,(08)	5699-3025,29/11/6530,d5CA7098-9e7D-59Ce-A71f-DcAD2cAa0DD8,32.17552035944271,10955.0
48656-343,234.202.034.254,295.869.400-55,"(78)
1479-2646",25/01/5714,8a1BeDC6-4CDf-5C62-b644-D73BCc9c4efd,11.213049772467532,11078.0
58421-118,7.252.72.228,002.116.392-24,"(37)
07064-4237",30/07/6367,C944FEc1-fA5c-3a24-AAEF-8fCdE03AEaFF,10.921359864964728,11201.0
98012-371,246.241.204.069,358.752.493-98,(83)7553-9678,02/11/5733,FF914356-Fbdf-11d3-a00A-B7BBafbc22D1,22.24050791801889,11324.0
38937-637,221.233.251.41,249.760.720-65,(19)	69250-4015,30/06/0055,70a5e1cb-5c7c-3De2-9dAf-A92EB8aaBaAe,9.007025858030008,11447.0
36978-305,2.251.252.253,604.191.020-87,"(21)
0768-6574",30/09/8780,E8058eCB-ECff-4DFc-bb12-92d0bcbB2e15,18.349598142332937,11570.0
31696-930,223.254.203.245,937.678.974-19,(01)	7314-9864,08/05/6511,Ab8Dac7e-A0d3-11Fc-8D21-B2A8189fe66E,10.11094548806764,11693.0
04258-857,250.252.251.231,478.201.946-69,(76)32201-8032,12/11/1846,f8DE219a-772a-5C14-bFba-16De5eA3e3ca,-0.4122548393536807,11816.0
66081-930,11.255.251.244,367.601.150-40,"(88)0950-4837",23/11/8779,B419B741-6FcC-4146-bF1B-1AA584025139,4.172937866770253,11939.0
02168-984,253.251.254.234,444.757.278-19,"(42)5095-1605",31/10/6521,1881DdbD-bF1e-2C09-bdb9-ddd8FA46EE29,26.776308029071934,12062.0
02099-622,97.254.208.199,058.072.820-76,(46)64071-3401,05/11/7091,94B6e8de-CB0E-4BCf-9E2d-628a05fF9828,17.55660753606437,12185.0
13647-814,253.198.230.252,993.223.828-55,"(14)68454-4539",30/09/1356,0AFbc6B1-7DCA-5dc7-998F-dCF22367a455,10.28545345662979,12308.0
38863-250,84.254.44.56,737.215.716-82,(21) 1138-9889,03/12/0745,5EC6B1cB-676d-5Fa5-8AEf-38fb46dAB712,0.8950873131708885,12431.0
73109-830,020.251.210.255,942.164.818-53,"(61)75947-6290",31/07/0886,b2fda23e-be26-2309-aF0B-Bc34527a842E,25.405897862633086,12554.0
11840-754,254.252.214.67,487.783.377-30,(54)6927-0975,30/10/9958,A8DeDd79-5cca-38Ee-aE57-A103c4e4EdD8,21.49839019383883,12677.0
